"accountId","accountType","broker/provider","ticker","shares","costBasis","currentPrice","currency","assetClass","geography","industry","portfolioName","currentValue","allocation_equities","allocation_fixedIncome","balances_ordinary","balances_special","balances_medisave","cash_SGD","cash_USD","dividendYieldPct","lastUpdated"
"stanchart-001","Brokerage","Standard Chartered","A35.SG","22647","1.096191","1.107","SGD","fixedIncome","Singapore","Fixed Income (Bonds)","","","","","","","","","","","2026-07-31"
"stanchart-001","Brokerage","Standard Chartered","MBH.SG","27474","1","1.021","SGD","fixedIncome","Singapore","Fixed Income (Corporate Bonds)","","","","","","","","","","","2026-07-31"
"stanchart-001","Brokerage","Standard Chartered","AWG.SG","4000","1.2709","0.22","SGD","equities","Singapore","Unclassified","","","","","","","","","","","2026-07-29T17:06:00+08:00"
"stanchart-001","Brokerage","Standard Chartered","C6L.SG","6100","6.1758","7.53","SGD","equities","Singapore","Airlines & Transportation","","","","","","","","","","","2026-07-29T17:06:00+08:00"
"stanchart-001","Brokerage","Standard Chartered","CLR.SG","11400","0.9956","0.854","SGD","equities","Singapore","Real Estate (REITs)","","","","","","","","","","","2026-07-29T17:06:00+08:00"
"stanchart-001","Brokerage","Standard Chartered","D05.SG","400","51.0915","75","SGD","equities","Singapore","Financials (Banking)","","","","","","","","","","","2026-07-29T17:06:00+08:00"
"stanchart-001","Brokerage","Standard Chartered","ES3.SG","19340","3.2383","5.8","SGD","equities","Singapore","Diversified (Index)","","","","","","","","","","","2026-07-29T17:06:00+08:00"
"stanchart-001","Brokerage","Standard Chartered","GLD.US","34","438.7318","369.36","USD","equities","Global","Commodities (Gold)","","","","","","","","","","","2026-07-29T18:21:00+08:00"
"stanchart-001","Brokerage","Standard Chartered","","","","","","","","","","","","","","","","11163.46","","",""
"stanchart-001","Brokerage","Standard Chartered","","","","","","","","","","","","","","","","","20000","",""
"dbs-ut-001","Brokerage","DBS (Unit Trust)","Amova S'pore STI ETF (SAdis)","3174","3.872347","5.72","SGD","equities","Singapore","Diversified (Index)","","","","","","","","","","","2026-07-28"
"cpf-001","CPF","","","","","","","","","","","","","","25204.19","142734.69","79000","","","","2026-07-29"
"dbs-001","Bank","","","","","","","","","","","","","","","","","0","","",""
"endowus-core-flagship","ManagedPortfolio","Endowus","","","31477.35","","SGD","","Global (Diversified)","Diversified (Multi-Asset)","Core - Flagship (Measured)","38627.14","0.5","0.5","","","","","","","2026-07-29"
"endowus-my-goal","ManagedPortfolio","Endowus","","","71410.87","","SGD","","Global (Diversified)","Diversified (Multi-Asset)","My Goal (Flagship, Aggressive)","83174.86","0.9","0.1","","","","","","","2026-07-29"
"endowus-my-goal-2","ManagedPortfolio","Endowus","","","7762.35","","SGD","","China","Diversified (Equities)","My Goal 2 (Satellite, China Equities)","9022.58","1","0","","","","","","","2026-07-29"
"endowus-energy","ManagedPortfolio","Endowus","","","16031.35","","SGD","","Global (Diversified)","Energy & Materials","Energy and Raw Material (Fund Smart)","15010.05","1","0","","","","","","","2026-07-29"
"ifast-dpms-001","ManagedPortfolio","iFAST","","","25002.48","","SGD","","Global (Diversified)","Diversified (Multi-Asset)","My Investment (DPMS, via SRS)","29346.91","0.6702","0.3298","","","","","","","2026-06-30"
